ID	TCGA_DD_A1EC_01A	TCGA_ES_A2HT_01A	TCGA_DD_A3A8_01A	TCGA_DD_A1EL_01A	TCGA_DD_A3A3_01A	TCGA_EP_A3RK_01A	TCGA_DD_A11D_01A	TCGA_DD_A39X_01A	TCGA_DD_A11C_01A	TCGA_DD_A11B_01A	TCGA_DD_A1EG_01A	TCGA_BD_A3EP_01A	TCGA_DD_A114_01A	TCGA_DD_A116_01A	TCGA_DD_A1EI_01A	TCGA_G3_A3CH_01A	TCGA_BD_A2L6_01A	TCGA_DD_A3A5_01A	TCGA_DD_A113_01A	TCGA_DD_A11A_01A	TCGA_BC_A216_01A	TCGA_DD_A119_01A	TCGA_BC_A10Y_01A	TCGA_DD_A1EJ_01A	TCGA_DD_A118_01A	TCGA_DD_A1EH_01A	TCGA_BC_A110_01A	TCGA_EP_A26S_01A	TCGA_DD_A39V_01A	TCGA_DD_A39W_01A	TCGA_DD_A3A2_01A	TCGA_DD_A3A4_01A
CLASS	0	1	2	0	1	2	0	0	2	2	1	1	0	0	0	0	2	0	0	1	2	0	1	1	1	0	2	0	1	0	1	0
a100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
a100133144	9.2	0	2	8	3.15	3.31	2.26	3.75	11.18	12.91	10.34	4.57	0	0	0	3	3.57	3.13	15.06	0	10	1.79	20.12	33.47	7.28	21.72	0	11.42	3.96	1.67	4.23	0
a100134869	8.8	3	0	5	1.85	8.69	3.74	6.25	10.82	4.09	2.66	3.43	2	3	12	0	1.43	1.87	3.94	26	0	2.21	7.88	16.53	8.72	19.28	3	1.58	2.04	3.33	5.77	7
a10357	144	104.55	196.73	614.74	54.87	160.63	69.86	225.26	167.17	229.61	383.12	191.92	218.93	70.79	181.74	153.84	420.91	141.93	130.71	170.17	324.96	90.74	369.28	296.27	64	326.15	65.9	286.78	126.07	216.06	128.6	116.57
a10431	2545	2044	1579	4455	1069	2219	762	2707	1348	1975	2180	1168	920	3845	2375	1434	2682	2109	2415	2141	1938	2472	2020	3786	2611	2323	1205	1545	1354	1626	1635	1873
a136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a155060	253	54	161	437	113	107	36	98	39	73	215	138	24	60	76	242	85	24	448	52	556	141	197	296	116	230	59	202	200	42	214	72
a26823	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
a280660	0	0	0	0	0	0	0	0	3	0	19	9	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	1	0	0	0
a317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	0	0	4	0	1	1	0	2	0	6	42	0	0	1	0	0	4	0	0	4	0	50	209	0	0	1	1	0	0	0	0
a388795	2	0	0	7	3	1	0	2	3	0	0	5	0	1	2	0	2	0	5	0	2	3	8	1	0	0	0	2	1	1	3	0
a390284	6	7	9	29	4	9	5	21	13	13	21	4	2	6	36	12	19	6	10	7	16	5	11	26	15	17	1	9	7	12	5	5
a391343	1	0	0	0	0	4	1	0	0	1	0	0	2	0	0	0	3	10	0	0	1	0	0	0	0	0	0	3	0	0	1	0
a391714	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0
a404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a553137	0	1	15	67	54	98	39	1	37	6	307	7	89	28	604	264	536	329	14	205	230	2	437	1221	5	341	25	199	4	45	0	287
a57714	2337	54	72	805	76	216	520	79	1188	816	471	495	1931	106	468	426	189	265	1537	2831	650	53	621	875	597	1513	62	535	64	477	210	202
a645851	3	0	0	9	0	1	1	0	7	8	9	10	3	0	21	3	2	1	23	17	10	0	12	19	3	10	1	5	0	5	7	0
a652919	15	0	0	0	0	0	0	0	3	10.39	0	0	42.84	0	0	3	0	0	1.15	55.23	30.26	0	2	0	0	81.55	0	28	0	0	0	0
a653553	340	1309	510	1274	1235	1222	333	2198	893	159	2002	708	387	1772	1326	571	842	1100	1097	1349	649	1420	713	1919	1181	891	205	595	3389	748	144	21
a728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a728788	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	2	2	4	0	2	0	0	0	0
a729884	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
a8225	1664	2629	1455	4232	1955	3485	512	2697	628	1114	2610	1114	1391	1624	1766	2016	2388	2694	1004	2297	2417	1665	3364	2153	833	1550	528	2490	2320	651	1473	1128
a90288	16	685	429	696	177	357	37	854	46	19	110	101	13	49	61	23	22	76	150	813	15	171	110	768	73	6	34	45	433	379	111	207
A1BG1	346.02	164964.95	57592.81	19204.76	79638.98	13649.82	47942.41	18758.98	110029.22	81570.95	74372.5	72966.77	4809.3	17191.18	85546.03	89334.37	175868.69	147298.64	34894.3	59353.54	34409.03	71700.23	49561.34	40427.59	2262.92	18872.04	72651.94	91423.37	42134.42	96908.79	131184.58	10278.98
A1CF29974	1181	1571	2790	7074	2449	1452	2252	3274	8313	3066	3833	1237	1129	3947	5140	3471	2205	5304	3851	4004	2823	2645	5076	9040	4164	5476	596	3644	2031	3074	3163	2112
A2BP154715	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0
A2LD187769	382.43	237.7	401.48	797.54	386.22	190.08	349.6	1020.2	167.7	358.1	356.39	583.16	144.72	287.4	347.11	191.24	406.78	344.52	775.3	491.98	264.14	508.27	129.37	596.89	832.74	876.52	177.6	318.2	269.68	72.07	234.98	315.65
A2ML1144568	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	2	0	0	1
